Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides Parental_bR1	Peptides Parental_bR2	Peptides Parental_bR3	Peptides Resistant_bR1	Peptides Resistant_bR2	Peptides Resistant_bR3	Razor + unique peptides Parental_bR1	Razor + unique peptides Parental_bR2	Razor + unique peptides Parental_bR3	Razor + unique peptides Resistant_bR1	Razor + unique peptides Resistant_bR2	Razor + unique peptides Resistant_bR3	Unique peptides Parental_bR1	Unique peptides Parental_bR2	Unique peptides Parental_bR3	Unique peptides Resistant_bR1	Unique peptides Resistant_bR2	Unique peptides Resistant_bR3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Identification type Parental_bR1	Identification type Parental_bR2	Identification type Parental_bR3	Identification type Resistant_bR1	Identification type Resistant_bR2	Identification type Resistant_bR3	Sequence coverage Parental_bR1 [%]	Sequence coverage Parental_bR2 [%]	Sequence coverage Parental_bR3 [%]	Sequence coverage Resistant_bR1 [%]	Sequence coverage Resistant_bR2 [%]	Sequence coverage Resistant_bR3 [%]	Intensity	Intensity Parental_bR1	Intensity Parental_bR2	Intensity Parental_bR3	Intensity Resistant_bR1	Intensity Resistant_bR2	Intensity Resistant_bR3	LFQ intensity Parental_bR1	LFQ intensity Parental_bR2	LFQ intensity Parental_bR3	LFQ intensity Resistant_bR1	LFQ intensity Resistant_bR2	LFQ intensity Resistant_bR3	MS/MS Count Parental_bR1	MS/MS Count Parental_bR2	MS/MS Count Parental_bR3	MS/MS Count Resistant_bR1	MS/MS Count Resistant_bR2	MS/MS Count Resistant_bR3	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|P35221|CTNA1_HUMAN;sp|P26232|CTNA2_HUMAN	sp|P35221|CTNA1_HUMAN	3;1	3;1	3;1	>sp|P35221|CTNA1_HUMAN Catenin alpha-1 OS=Homo sapiens GN=CTNNA1 PE=1 SV=1	2	3	3	3	3	3	2	2	3	2	3	3	2	2	3	2	3	3	2	2	3	2	4.4	4.4	4.4	100.07	906	906;953	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	4.4	4.4	2.5	3.1	4.4	3.1	297030000	79325000	52571000	50992000	46315000	36352000	31479000	35020000	35859000	48920000	57923000	43280000	51288000	2	2	1	2	2	1	10				575	3225;6431;6783	True;True;True	3232;6446;6798	15901;15902;15903;15904;31346;31347;31348;31349;31350;31351;31352;31353;33056;33057;33058;33059;33060	9927;9928;9929;19663;19664;19665;19666;19667;20702;20703;20704	9928;19664;20702		
sp|P35232|PHB_HUMAN	sp|P35232|PHB_HUMAN	13	13	13	>sp|P35232|PHB_HUMAN Prohibitin OS=Homo sapiens GN=PHB PE=1 SV=1	1	13	13	13	12	12	11	11	12	9	12	12	11	11	12	9	12	12	11	11	12	9	65.1	65.1	65.1	29.804	272	272	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	61.8	61.8	57.7	53.3	57.7	46.7	4736100000	1082500000	881360000	873260000	726640000	688130000	484250000	981080000	972650000	1082600000	440060000	444730000	641010000	10	8	9	3	3	6	39				576	33;53;91;1282;1712;2297;3005;3369;3922;5205;5743;7129;7354	True;True;True;True;True;True;True;True;True;True;True;True;True	33;53;91;1285;1717;2304;3012;3376;3930;5216;5754;7146;7372	149;150;151;152;153;154;155;156;157;158;159;160;244;245;246;247;248;401;402;403;6162;6163;6164;6165;6166;6167;8471;8472;11149;11150;11151;11152;11153;11154;11155;11156;11157;11158;11159;14613;14614;14615;14616;14617;14618;14619;14620;14621;14622;14623;16642;16643;16644;16645;19421;19422;19423;19424;19425;19426;19427;19428;19429;25760;25761;25762;25763;25764;25765;28224;28225;28226;28227;28228;34777;34778;34779;34780;34781;34782;35913;35914;35915;35916;35917;35918	111;112;113;114;115;116;172;264;265;266;3854;3855;3856;3857;5252;5253;6951;6952;6953;6954;6955;9089;9090;9091;9092;9093;9094;9095;10395;10396;10397;12148;12149;12150;12151;12152;12153;12154;16065;17615;17616;17617;17618;21783;21784;22521;22522	116;172;266;3854;5252;6954;9092;10397;12148;16065;17617;21784;22521		
sp|P35241|RADI_HUMAN	sp|P35241|RADI_HUMAN	7	2	2	>sp|P35241|RADI_HUMAN Radixin OS=Homo sapiens GN=RDX PE=1 SV=1	1	7	2	2	5	3	4	5	4	5	1	1	0	2	1	2	1	1	0	2	1	2	10.1	3.8	3.8	68.563	583	583	0.00078555	By matching	By matching	By matching	By MS/MS	By matching	By MS/MS	8.2	4.8	4.8	7.2	6.7	7.2	96195000	2658900	8986500	0	44166000	2780600	37602000	0	0	0	0	0	51155000	0	0	0	0	0	1	1				577	252;3390;3833;3962;5600;5796;6753	True;False;False;False;False;False;True	251;3397;3841;3970;5611;5807;6768	1157;1158;1159;16748;16749;18926;18927;18928;19643;19644;19645;19646;27535;27536;27537;27538;27539;27540;28486;28487;28488;28489;28490;28491;32939;32940;32941;32942	729;10464;11843;12268;17187;17188;17775;17776;17777;20630	729;10464;11843;12268;17187;17775;20630		
sp|P35250|RFC2_HUMAN	sp|P35250|RFC2_HUMAN	2	2	2	>sp|P35250|RFC2_HUMAN Replication factor C subunit 2 OS=Homo sapiens GN=RFC2 PE=1 SV=3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	8.5	8.5	8.5	39.157	354	354	0	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	8.5	8.5	8.5	8.5	8.5	8.5	143420000	30100000	19098000	26823000	24983000	20416000	21996000	16763000	0	17857000	29952000	0	33763000	1	0	1	1	0	1	4				578	1758;4604	True;True	1763;4615	8678;8679;8680;8681;8682;8683;22852;22853;22854;22855;22856;22857	5374;5375;14252;14253;14254	5374;14253		
sp|P35268|RL22_HUMAN	sp|P35268|RL22_HUMAN	3	3	3	>sp|P35268|RL22_HUMAN 60S ribosomal protein L22 OS=Homo sapiens GN=RPL22 PE=1 SV=2	1	3	3	3	3	3	3	2	2	2	3	3	3	2	2	2	3	3	3	2	2	2	19.5	19.5	19.5	14.787	128	128	0	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	19.5	19.5	19.5	9.4	9.4	9.4	1602700000	448880000	381660000	432500000	138450000	106590000	94655000	209200000	196110000	199150000	262590000	311960000	238470000	1	1	0	2	2	2	8				579	323;3709;3710	True;True;True	322;3716;3717	1492;1493;1494;18306;18307;18308;18309;18310;18311;18312;18313;18314;18315;18316;18317	957;958;11429;11430;11431;11432;11433;11434;11435	958;11429;11434		
sp|P35270|SPRE_HUMAN	sp|P35270|SPRE_HUMAN	2	2	2	>sp|P35270|SPRE_HUMAN Sepiapterin reductase OS=Homo sapiens GN=SPR PE=1 SV=1	1	2	2	2	2	2	2	0	0	0	2	2	2	0	0	0	2	2	2	0	0	0	13	13	13	28.048	261	261	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	13	13	13	0	0	0	113370000	41704000	39313000	32354000	0	0	0	28404000	33755000	27274000	0	0	0	2	2	2	0	0	0	6				580	4531;7428	True;True	4542;7446	22516;22517;22518;36273;36274;36275	14028;14029;14030;22743;22744;22745	14028;22743		
sp|P35579|MYH9_HUMAN;sp|P35580|MYH10_HUMAN;REV__sp|Q9UKV3|ACINU_HUMAN	sp|P35579|MYH9_HUMAN	69;8;1	69;8;1	62;3;1	>sp|P35579|MYH9_HUMAN Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4	3	69	69	62	57	57	56	55	53	51	57	57	56	55	53	51	50	51	49	48	46	44	39.5	39.5	35.8	226.53	1960	1960;1976;1341	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	35.1	33.3	34.6	31.6	32.4	30.7	20696000000	2889100000	2180200000	2345000000	5892500000	3482700000	3906900000	1427300000	1379100000	1534800000	6459100000	5251300000	5867100000	48	39	48	61	37	52	285				581	335;451;460;558;634;635;1041;1071;1225;1236;1453;1632;1633;1634;1682;1683;1901;2051;2064;2406;2450;2530;3177;3178;3222;3223;3245;3246;3447;3797;3912;3926;3931;3954;3955;3979;4011;4713;4721;4724;4737;5032;5141;5248;5268;5269;5359;5471;5561;5595;5617;5685;5703;5818;5821;6011;6012;6156;6157;6486;6488;6489;6751;7064;7070;7490;7505;7716;7826	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	334;450;459;559;635;636;1044;1074;1228;1239;1457;1636;1637;1638;1687;1688;1907;2057;2070;2413;2457;2537;3184;3185;3229;3230;3252;3253;3454;3804;3920;3934;3939;3962;3963;3987;4019;4724;4732;4735;4748;5043;5152;5259;5279;5280;5370;5482;5572;5606;5628;5696;5714;5829;5832;6024;6025;6169;6170;6501;6503;6504;6766;7081;7087;7508;7523;7734;7844	1541;1542;1543;1544;1545;1546;1547;1548;2162;2163;2164;2165;2166;2167;2168;2169;2225;2226;2227;2228;2229;2230;2231;2232;2652;2653;2654;2655;2656;2657;2658;2988;2989;2990;2991;2992;2993;2994;2995;2996;2997;2998;2999;3000;3001;4909;4910;4911;4912;4913;4914;4915;5056;5057;5058;5059;5060;5061;5062;5063;5064;5065;5066;5067;5848;5849;5850;5851;5852;5919;5920;5921;5922;5923;5924;7096;7097;7098;7099;8041;8042;8043;8044;8045;8046;8047;8048;8049;8050;8051;8052;8053;8054;8055;8056;8057;8058;8059;8060;8061;8062;8063;8064;8065;8066;8067;8068;8069;8070;8071;8072;8312;8313;8314;8315;8316;8317;8318;8319;8320;8321;8322;8323;9387;9388;9389;9390;9391;9392;10093;10094;10095;10096;10158;10159;10160;10161;10162;11630;11631;11864;11865;11866;11867;11868;11869;11870;12311;12312;12313;12314;12315;12316;15685;15686;15687;15688;15689;15690;15691;15692;15886;15887;15888;15889;15890;15891;15892;15893;15894;15895;16001;16002;16003;16004;16005;16006;16007;16008;16009;16010;16011;16012;16013;16014;16015;16016;16017;16018;17062;17063;17064;17065;17066;17067;17068;17069;18727;18728;18729;19371;19372;19373;19374;19375;19376;19450;19451;19452;19453;19454;19455;19456;19477;19478;19479;19480;19481;19621;19622;19623;19624;19625;19626;19627;19628;19629;19726;19727;19728;19729;19730;19731;19732;19733;19734;19735;19736;19737;19738;19739;19740;19741;19742;19743;19744;19745;19892;19893;19894;19895;19896;19897;19898;19899;19900;19901;19902;19903;23367;23368;23369;23370;23371;23413;23414;23415;23416;23417;23418;23425;23426;23427;23428;23429;23430;23503;23504;23505;23506;24920;24921;24922;24923;24924;24925;24926;24927;25453;25454;25455;25456;25457;25458;25974;25975;25976;25977;25978;25979;26063;26064;26065;26066;26067;26068;26069;26070;26071;26072;26073;26504;26505;26506;26507;26508;26955;26956;26957;26958;26959;26960;26961;26962;26963;26964;26965;26966;27368;27369;27370;27509;27510;27511;27512;27513;27627;27628;27629;27630;27631;27632;27633;27634;27635;27636;27637;27638;27920;27921;27922;27923;27924;27925;27926;27927;27928;27929;27930;27931;28010;28011;28012;28013;28014;28015;28016;28017;28018;28605;28606;28607;28615;28616;28617;29468;29469;29470;29471;29472;29473;30133;30134;30135;30136;30137;30138;30139;30140;30141;30142;30143;30144;30145;30146;30147;31609;31610;31611;31620;31621;31622;31623;31624;31625;31626;31627;31628;31629;31630;31631;31632;31633;32927;32928;32929;32930;32931;32932;34447;34448;34449;34450;34451;34452;34481;34482;34483;34484;34485;34486;34487;34488;34489;34490;34491;34492;34493;36553;36554;36555;36556;36557;36558;36612;36613;36614;36615;36616;36617;36618;36619;37667;37668;37669;37670;37671;37672;38258;38259	993;994;995;996;997;998;1386;1387;1388;1389;1390;1426;1427;1428;1429;1430;1689;1690;1691;1692;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;3121;3122;3123;3124;3125;3126;3210;3211;3212;3213;3214;3215;3216;3217;3218;3219;3220;3221;3685;3686;3687;3688;3729;3730;3731;4399;4400;4401;4402;4960;4961;4962;4963;4964;4965;4966;4967;4968;4969;4970;4971;4972;4973;4974;4975;4976;4977;4978;4979;4980;4981;4982;4983;4984;5157;5158;5159;5160;5161;5162;5163;5832;5833;5834;5835;5836;5837;6274;6275;6317;6318;7228;7375;7376;7663;9784;9785;9786;9787;9788;9789;9922;9923;9924;9925;9989;9990;9991;9992;9993;9994;9995;9996;9997;9998;9999;10000;10001;10002;10003;10004;10005;10654;10655;10656;10657;11706;11707;12120;12121;12122;12164;12165;12166;12167;12168;12176;12255;12256;12257;12258;12321;12322;12323;12324;12325;12326;12327;12328;12329;12330;12331;12332;12333;12421;12422;12423;12424;12425;12426;12427;14577;14578;14579;14580;14581;14609;14610;14611;14612;14613;14616;14617;14663;14664;14665;15538;15539;15540;15541;15542;15875;15876;15877;15878;16194;16195;16251;16252;16253;16254;16255;16539;16540;16541;16542;16829;16830;16831;16832;16833;16834;16835;16836;16837;16838;16839;16840;16841;17079;17171;17248;17249;17250;17251;17252;17253;17254;17422;17423;17478;17479;17480;17481;17482;17853;17860;18408;18409;18410;18411;18412;18413;18845;18846;18847;18848;18849;18850;18851;18852;18853;18854;19823;19824;19825;19826;19830;19831;19832;19833;19834;19835;20621;20622;20623;20624;20625;21575;21576;21577;21578;21579;21580;21594;21595;21596;21597;21598;21599;21600;21601;21602;21603;22932;22933;22934;22965;22966;22967;22968;22969;22970;23634;23635;23636;24004	993;1389;1429;1689;1901;1911;3121;3219;3688;3731;4402;4960;4973;4982;5157;5160;5832;6275;6318;7228;7376;7663;9784;9788;9922;9923;9993;10001;10657;11706;12121;12166;12176;12255;12258;12330;12425;14577;14613;14617;14663;15538;15876;16194;16251;16255;16539;16834;17079;17171;17250;17422;17481;17853;17860;18410;18411;18845;18853;19824;19830;19831;20621;21579;21594;22932;22970;23636;24004		
sp|P35606|COPB2_HUMAN	sp|P35606|COPB2_HUMAN	7	7	7	>sp|P35606|COPB2_HUMAN Coatomer subunit beta OS=Homo sapiens GN=COPB2 PE=1 SV=2	1	7	7	7	7	6	7	2	2	2	7	6	7	2	2	2	7	6	7	2	2	2	13.6	13.6	13.6	102.49	906	906	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	13.6	12.5	13.6	3.3	3.3	3.3	532570000	162860000	131350000	133450000	49225000	33137000	22562000	79785000	74153000	87711000	95939000	78075000	47934000	4	3	4	2	0	0	13				582	35;2925;5759;5983;6293;6351;6514	True;True;True;True;True;True;True	35;2932;5770;5995;6308;6366;6529	166;167;168;169;170;171;14244;14245;14246;28291;28292;28293;28294;28295;28296;29316;29317;29318;30724;30725;30726;30978;30979;30980;31752;31753	118;119;120;121;8858;8859;8860;17649;18294;18295;18296;19221;19222;19388;19389;19900	119;8858;17649;18294;19221;19388;19900		
sp|P35613|BASI_HUMAN	sp|P35613|BASI_HUMAN	2	2	2	>sp|P35613|BASI_HUMAN Basigin OS=Homo sapiens GN=BSG PE=1 SV=2	1	2	2	2	2	1	2	0	0	0	2	1	2	0	0	0	2	1	2	0	0	0	7.8	7.8	7.8	42.2	385	385	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	7.8	3.6	7.8	0	0	0	100780000	55905000	18321000	26554000	0	0	0	30793000	0	30318000	0	0	0	2	0	2	0	0	0	4				583	5956;6253	True;True	5967;6268	29192;29193;29194;30548;30549;30550	18222;18223;18224;19106;19107;19108	18224;19106		
sp|P35637|FUS_HUMAN	sp|P35637|FUS_HUMAN	7	7	5	>sp|P35637|FUS_HUMAN RNA-binding protein FUS OS=Homo sapiens GN=FUS PE=1 SV=1	1	7	7	5	6	6	5	4	6	5	6	6	5	4	6	5	4	4	4	4	5	5	19.4	19.4	16.7	53.425	526	526	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	19.2	19.2	19.2	13.5	19.4	16.7	1170100000	359900000	276950000	275520000	125630000	53272000	78798000	147500000	114200000	198950000	253460000	135520000	175060000	7	6	4	4	2	1	24				584	51;52;580;581;925;2580;3066	True;True;True;True;True;True;True	51;52;581;582;927;2587;3073	234;235;236;237;238;239;240;241;242;243;2749;2750;2751;2752;2753;2754;2755;2756;2757;2758;2759;2760;2761;2762;4351;4352;4353;4354;4355;4356;12566;12567;12568;12569;14956;14957;14958;14959;14960;14961	166;167;168;169;170;171;1742;1743;1744;1745;1746;1747;1748;1749;1750;1751;2792;2793;7811;7812;7813;9304;9305;9306;9307	166;168;1749;1751;2792;7813;9305		
sp|P35659|DEK_HUMAN	sp|P35659|DEK_HUMAN	4	4	4	>sp|P35659|DEK_HUMAN Protein DEK OS=Homo sapiens GN=DEK PE=1 SV=1	1	4	4	4	4	4	4	1	1	0	4	4	4	1	1	0	4	4	4	1	1	0	12.5	12.5	12.5	42.674	375	375	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	12.5	12.5	12.5	3.2	3.5	0	148050000	44209000	44907000	51037000	5444500	2456500	0	31891000	38763000	40956000	0	0	0	3	1	1	0	0	0	5				585	2036;4442;5392;7633	True;True;True;True	2042;4452;5403;7651	10016;10017;10018;22044;22045;22046;26631;26632;26633;26634;37264;37265;37266;37267	6225;13736;13737;16619;23363	6225;13737;16619;23363		
sp|P35749|MYH11_HUMAN	sp|P35749|MYH11_HUMAN	9	2	2	>sp|P35749|MYH11_HUMAN Myosin-11 OS=Homo sapiens GN=MYH11 PE=1 SV=3	1	9	2	2	8	7	8	8	8	9	1	1	1	1	1	2	1	1	1	1	1	2	6.2	1.7	1.7	227.34	1972	1972	0.0007722	By MS/MS	By matching	By matching	By matching	By MS/MS	By matching	5.8	5.1	5.8	4.8	4.8	6.2	234440000	57153000	80840000	42020000	10552000	12996000	30874000	0	0	0	0	0	42001000	1	0	0	0	1	0	2				586	1248;1632;1633;1634;3953;4724;5359;5617;6751	True;False;False;False;True;False;False;False;False	1251;1636;1637;1638;3961;4735;5370;5628;6766	5974;5975;5976;5977;8041;8042;8043;8044;8045;8046;8047;8048;8049;8050;8051;8052;8053;8054;8055;8056;8057;8058;8059;8060;8061;8062;8063;8064;8065;8066;8067;8068;8069;8070;8071;8072;19618;19619;19620;23425;23426;23427;23428;23429;23430;26504;26505;26506;26507;26508;27627;27628;27629;27630;27631;27632;27633;27634;27635;27636;27637;27638;32927;32928;32929;32930;32931;32932	3759;4960;4961;4962;4963;4964;4965;4966;4967;4968;4969;4970;4971;4972;4973;4974;4975;4976;4977;4978;4979;4980;4981;4982;4983;4984;12254;14616;14617;16539;16540;16541;16542;17248;17249;17250;17251;17252;17253;17254;20621;20622;20623;20624;20625	3759;4960;4973;4982;12254;14617;16539;17250;20621	13	1864
sp|P35754|GLRX1_HUMAN	sp|P35754|GLRX1_HUMAN	1	1	1	>sp|P35754|GLRX1_HUMAN Glutaredoxin-1 OS=Homo sapiens GN=GLRX PE=1 SV=2	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	7.5	7.5	7.5	11.776	106	106	0.004779	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	0	0	0	7.5	7.5	7.5	24930000	0	0	0	9155200	8951400	6823500	0	0	0	0	0	9282700	0	0	0	0	0	0	0				587	611	True	612	2878;2879;2880;2881	1834;1835;1836;1837	1837		
sp|P35813|PPM1A_HUMAN	sp|P35813|PPM1A_HUMAN	2	2	2	>sp|P35813|PPM1A_HUMAN Protein phosphatase 1A OS=Homo sapiens GN=PPM1A PE=1 SV=1	1	2	2	2	2	1	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0	7.9	7.9	7.9	42.447	382	382	0.00079302	By MS/MS	By matching	By matching	By matching	By matching	By matching	7.9	4.7	0	0	0	0	58306000	42351000	15955000	0	0	0	0	29390000	0	0	0	0	0	2	0	0	0	0	0	2				588	2882;6983	True;True	2889;7000	14061;14062;34032	8728;21318	8728;21318		
sp|P35998|PRS7_HUMAN	sp|P35998|PRS7_HUMAN	11	11	11	>sp|P35998|PRS7_HUMAN 26S protease regulatory subunit 7 OS=Homo sapiens GN=PSMC2 PE=1 SV=3	1	11	11	11	8	7	9	6	6	6	8	7	9	6	6	6	8	7	9	6	6	6	32.1	32.1	32.1	48.633	433	433	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	23.3	20.6	27	20.3	19.6	19.6	560580000	111050000	66957000	100340000	130660000	70210000	81366000	47271000	51336000	54101000	156800000	133680000	116390000	3	1	3	6	4	4	21				589	118;441;2097;2235;2299;2489;3452;3892;5431;5704;6688	True;True;True;True;True;True;True;True;True;True;True	118;440;2104;2242;2306;2496;3459;3900;5442;5715;6703	546;547;2106;2107;2108;10303;10304;10305;10306;10307;10895;10896;10897;10898;10899;10900;10901;10902;10903;10904;10905;11169;11170;11171;11172;11173;11174;12072;12073;12074;17089;17090;17091;17092;17093;19251;26791;26792;26793;26794;26795;28019;28020;28021;32631;32632;32633	354;1358;6409;6410;6411;6412;6782;6783;6784;6785;6786;6961;6962;6963;6964;6965;7499;7500;10671;12050;16725;17483;20439;20440	354;1358;6411;6784;6961;7499;10671;12050;16725;17483;20440		
sp|P36542|ATPG_HUMAN	sp|P36542|ATPG_HUMAN	1	1	1	>sp|P36542|ATPG_HUMAN ATP synthase subunit gamma, mitochondrial OS=Homo sapiens GN=ATP5C1 PE=1 SV=1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	3.7	3.7	3.7	32.996	298	298	0.0047253	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	3.7	3.7	3.7	3.7	0	0	201240000	68081000	59724000	53612000	19824000	0	0	0	0	45053000	0	0	0	0	0	0	0	0	0	0				590	5968	True	5980	29234;29235;29236;29237;29238;29239;29240	18252;18253;18254	18252		
sp|P36543|VATE1_HUMAN	sp|P36543|VATE1_HUMAN	2	2	2	>sp|P36543|VATE1_HUMAN V-type proton ATPase subunit E 1 OS=Homo sapiens GN=ATP6V1E1 PE=1 SV=1	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	10.2	10.2	10.2	26.145	226	226	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	10.2	10.2	10.2	10.2	10.2	6.2	156280000	32561000	39772000	40018000	20827000	12247000	10857000	21485000	24871000	33600000	26847000	21406000	0	1	0	2	1	1	1	6				591	509;651	True;True	509;652	2444;2445;2446;2447;2448;3058;3059;3060;3061;3062;3063	1554;1555;1556;1954;1955;1956;1957	1555;1954		
sp|P36578|RL4_HUMAN	sp|P36578|RL4_HUMAN	16	16	16	>sp|P36578|RL4_HUMAN 60S ribosomal protein L4 OS=Homo sapiens GN=RPL4 PE=1 SV=5	1	16	16	16	13	16	13	6	9	8	13	16	13	6	9	8	13	16	13	6	9	8	30	30	30	47.697	427	427	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	21.1	30	26.2	13.1	17.8	15.5	3996100000	844530000	756080000	886490000	603350000	494510000	411180000	358570000	374770000	390050000	992060000	898540000	812940000	9	13	13	8	7	7	57				592	1;111;112;579;2860;3319;3320;3321;3916;4160;5196;5443;5444;5661;5784;7025	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1;111;112;580;2867;3326;3327;3328;3924;4168;5207;5454;5455;5672;5795;7042	6;7;8;518;519;520;521;522;523;524;525;526;527;528;2748;13965;13966;13967;13968;13969;13970;16346;16347;16348;16349;16350;16351;16352;16353;16354;16355;16356;16357;16358;16359;16360;16361;16362;16363;16364;16365;16366;16367;16368;16369;16370;16371;16372;16373;16374;16375;16376;16377;16378;16379;16380;16381;16382;16383;16384;16385;16386;19389;19390;19391;19392;19393;19394;20596;20597;20598;25718;25719;25720;25721;25722;25723;26849;26850;26851;26852;27841;27842;28410;28411;28412;28413;28414;28415;28416;28417;34259;34260;34261	6;7;8;337;338;339;340;341;342;343;344;1741;8672;8673;8674;8675;10212;10213;10214;10215;10216;10217;10218;10219;10220;10221;10222;10223;10224;10225;10226;10227;10228;10229;10230;10231;10232;10233;10234;10235;10236;10237;10238;10239;10240;10241;10242;12126;12127;12862;12863;16042;16763;16764;17363;17364;17729;17730;17731;17732;17733;17734;17735;21453;21454	7;338;341;1741;8675;10213;10221;10231;12127;12863;16042;16763;16764;17364;17735;21454		
sp|P36776|LONM_HUMAN	sp|P36776|LONM_HUMAN	3	3	3	>sp|P36776|LONM_HUMAN Lon protease homolog, mitochondrial OS=Homo sapiens GN=LONP1 PE=1 SV=2	1	3	3	3	2	3	3	0	1	1	2	3	3	0	1	1	2	3	3	0	1	1	6	6	6	106.49	959	959	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	4.1	6	6	0	1	2	62052000	20697000	21666000	17475000	0	771170	1443600	18760000	15598000	13042000	0	0	0	2	3	2	0	0	0	7				593	1144;1814;3751	True;True;True	1147;1819;3758	5412;5413;5414;5415;8980;8981;8982;18493;18494;18495	3418;3419;5563;5564;11549;11550;11551	3418;5564;11550		
sp|P36871|PGM1_HUMAN	sp|P36871|PGM1_HUMAN	5	5	5	>sp|P36871|PGM1_HUMAN Phosphoglucomutase-1 OS=Homo sapiens GN=PGM1 PE=1 SV=3	1	5	5	5	5	5	5	2	3	3	5	5	5	2	3	3	5	5	5	2	3	3	12.8	12.8	12.8	61.448	562	562	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	12.8	12.8	12.8	6.2	8.4	8.4	293050000	86440000	76358000	50590000	22829000	26831000	29998000	54156000	51403000	44405000	0	49445000	46843000	3	3	2	1	0	0	9				594	167;377;1226;4763;6580	True;True;True;True;True	167;376;1229;4774;6595	760;761;762;1751;1752;1753;1754;1755;1756;5853;5854;5855;23626;23627;23628;23629;23630;23631;32115;32116;32117;32118;32119	485;486;487;1131;1132;1133;1134;3689;14736;14737;14738;20136;20137	485;1132;3689;14738;20136		
sp|P36873|PP1G_HUMAN	sp|P36873|PP1G_HUMAN	7	7	2	>sp|P36873|PP1G_HUMAN Serine/threonine-protein phosphatase PP1-gamma catalytic subunit OS=Homo sapiens GN=PPP1CC PE=1 SV=1	1	7	7	2	6	6	7	5	4	3	6	6	7	5	4	3	2	2	2	2	1	0	28.8	28.8	7.4	36.983	323	323	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	23.5	23.5	28.8	22.6	18.3	15.2	566010000	141550000	143390000	161340000	44756000	38341000	36636000	93537000	91140000	59000000	81980000	78611000	98339000	5	1	2	2	1	1	12				595	158;351;352;1816;3354;5402;6525	True;True;True;True;True;True;True	158;350;351;1821;3361;5413;6540	719;720;721;722;723;1625;1626;1627;1628;1629;1630;1631;1632;1633;1634;8988;8989;8990;8991;16552;16553;16554;26668;26669;26670;26671;26672;31800;31801;31802;31803;31804;31805;31806;31807;31808;31809;31810;31811	462;463;1060;1061;1062;5567;10335;16641;19936;19937;19938;19939;19940;19941;19942	462;1060;1062;5567;10335;16641;19936		
