Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 0	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity 0	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity count 0	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
P19971	P19971	2	2	2	Thymidine phosphorylase	TYMP		1	2	2	2	5.8	5.8	5.8	49.955	482	482	0	12.787	8824.4	20770	39401	125500	138720	8847.3	22439	40064	117860	132320	2	2	2	2	2	13397000	2				513	814;1073	True;True	799;1059	994;1313	1080;1418	1080;1418		
Q16720;P23634;Q01814;P20020	Q16720;P23634;Q01814;P20020	1;1;1;1	1;1;1;1	1;1;1;1	Plasma membrane calcium-transporting ATPase 3;Plasma membrane calcium-transporting ATPase 4;Plasma membrane calcium-transporting ATPase 2;Plasma membrane calcium-transporting ATPase 1	ATP2B3;ATP2B4;ATP2B2;ATP2B1	;;;	4	1	1	1	0.9	0.9	0.9	134.2	1220	1220;1241;1243;1258	0.0015369	6.5876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				514	8678	True	8690	10519	11226	11226		
P20042	P20042	11	11	11	Eukaryotic translation initiation factor 2 subunit 2	EIF2S2		1	11	11	11	42.3	42.3	42.3	38.388	333	333	0	116.13	85491	207450	379500	1079300	1193600	85633	220070	382840	1015100	1140800	10	11	11	11	11	287480000	11				515	1703;2430;2996;3524;3632;5617;6561;6595;6604;9263;10881	True;True;True;True;True;True;True;True;True;True;True	1685;2414;2982;3511;3619;5615;6565;6599;6608;9275;10888	2081;2965;3640;4264;4392;6853;7994;8032;8041;11199;13119	2253;3196;3927;4582;4714;7350;8568;8608;8617;11967;14035	2253;3196;3927;4582;4714;7350;8568;8608;8617;11967;14035		
P20073	P20073	4	4	4	Annexin A7	ANXA7		1	4	4	4	7.2	7.2	7.2	52.739	488	488	0	39.565	17563	43887	85094	217370	224730	17708	46302	84822	204560	215550	3	3	3	3	3	53555000	4				516	1371;4144;7640;8238	True;True;True;True	1356;4135;7648;8248	1669;5054;9285;10002	1804;5413;9939;10679	1804;5413;9939;10679		
P20290;Q96K17	P20290	5;1	5;1	5;1	Transcription factor BTF3	BTF3		2	5	5	5	27.7	27.7	27.7	22.168	206	206;158	0	52.832	23568	53281	98868	317120	358780	23535	57451	100850	297850	342070	5	5	5	5	5	87592000	5				517	1090;3454;6997;10720;10874	True;True;True;True;True	1077;3440;7002;10728;10881	1334;4178;8483;12922;13111	1439;4494;9095;13818;14027	1439;4494;9095;13818;14027		
P20340;Q9NRW1;Q14964	P20340	7;3;1	7;3;1	7;3;1	Ras-related protein Rab-6A	RAB6A		3	7	7	7	37.5	37.5	37.5	23.593	208	208;208;217	0	51.626	51548	126880	236820	694740	751690	51781	135410	238940	653070	718340	7	7	7	7	7	196080000	7				518	3111;4985;7894;8124;9492;10424;11383	True;True;True;True;True;True;True	3097;4979;7904;8134;9504;10432;11390	3780;6078;9589;9855;11456;12567;13718	4070;6512;10249;10526;12242;13443;14665	4070;6512;10249;10526;12242;13443;14665		
P20472	P20472	11	11	11	Parvalbumin alpha	PVALB		1	11	11	11	79.1	79.1	79.1	12.059	110	110	0	99.006	232600	575570	1112300	2856500	3134600	234300	607380	1113200	2688100	3002500	20	20	20	20	20	2172100000	20				519	1466;3763;4424;6438;6822;8510;9776;10030;10283;10284;11662	True;True;True;True;True;True;True;True;True;True;True	1451;3750;4417;6442;6827;8517;8518;9788;10041;10291;10292;11668	1798;4553;4554;5412;7854;8286;10315;10316;10317;10318;11793;11794;12106;12406;12407;12408;14055;14056	1952;4880;4881;5788;8419;8881;11006;11007;11008;11009;11010;12616;12617;12961;13273;13274;13275;15024;15025;15026	1952;4880;5788;8419;8881;11010;12617;12961;13273;13275;15026	28	85
P20591;P20592	P20591	7;1	7;1	7;1	Interferon-induced GTP-binding protein Mx1;Interferon-induced GTP-binding protein Mx1, N-terminally processed	MX1		2	7	7	7	11.5	11.5	11.5	75.519	662	662;715	0	58.158	52694	137470	249290	710200	823280	53039	145720	252120	668010	786180	7	7	7	7	7	103520000	7				520	849;5636;7014;8075;8895;10494;10850	True;True;True;True;True;True;True	834;5634;7019;8085;8907;10502;10857	1039;6878;8501;9797;10778;12650;13083	1126;7376;9115;10468;11507;13530;13998	1126;7376;9115;10468;11507;13530;13998		
P20618	P20618	6	6	6	Proteasome subunit beta type-1	PSMB1		1	6	6	6	28.2	28.2	28.2	26.489	241	241	0	68.486	41239	105380	189980	544500	638560	41433	111700	192450	512150	609600	7	7	7	7	7	219520000	7				521	598;2390;2732;2804;4191;8913	True;True;True;True;True;True	583;2374;2717;2789;4182;8925	736;2915;3318;3404;5115;5116;10804	807;3140;3578;3678;5477;5478;11541	807;3140;3578;3678;5478;11541		
P20645	P20645	4	4	4	Cation-dependent mannose-6-phosphate receptor	M6PR		1	4	4	4	19.5	19.5	19.5	30.993	277	277	0	34.285	21171	48505	100710	289800	336600	21318	52327	101940	272180	321360	4	4	4	4	4	92675000	4				522	4447;5133;5424;10738	True;True;True;True	4440;5128;5421;10745	5438;6255;6618;12950	5816;6707;7097;13860	5816;6707;7097;13860		
P20674	P20674	4	4	4	Cytochrome c oxidase subunit 5A, mitochondrial	COX5A		1	4	4	4	32	32	32	16.762	150	150	0	38.019	42852	97454	190140	525790	593570	42945	103820	191720	494330	567400	5	5	5	5	5	340860000	5				523	4585;5740;9643;12494	True;True;True;True	4579;5739;9655;12505	5606;5607;7004;11648;15116	6004;6005;7514;12449;16156	6004;7514;12449;16156		
P20700	P20700	27	25	23	Lamin-B1	LMNB1		1	27	25	23	44.5	43	40.3	66.408	586	586	0	231.33	271100	663200	1232700	3500300	3845600	272100	704710	1242500	3291700	3676100	26	27	27	27	27	1081900000	28				524	428;596;821;986;1645;1646;2204;2709;3289;5619;5665;5996;6564;6657;6843;7085;7533;7594;7860;7882;7983;7992;8232;9264;9299;10290;11249	True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True;True;False;True;True;True;True;True;True;True;True;True	418;581;806;971;1627;1628;2188;2694;3275;5617;5663;5997;6568;6661;6848;7091;7541;7602;7870;7892;7993;8002;8242;9276;9311;10298;11255	543;734;1001;1210;2012;2013;2014;2688;3292;3991;6855;6919;7324;7325;7998;8105;8312;8590;9162;9234;9553;9576;9689;9698;9996;11200;11239;12414;13556	595;805;1087;1088;1310;2179;2180;2181;2892;3552;4295;7352;7419;7851;7852;8572;8687;8909;9210;9809;9885;9886;10213;10236;10357;10366;10673;11968;12008;13281;14495	595;805;1087;1310;2179;2181;2892;3552;4295;7352;7419;7852;8572;8687;8909;9210;9809;9886;10213;10236;10357;10366;10673;11968;12008;13281;14495		
P20810	P20810	5	5	5	Calpastatin	CAST		1	5	5	5	7.5	7.5	7.5	76.572	708	708	0	28.463	26477	66546	132580	365090	414580	26759	71034	133490	343180	396290	5	5	5	5	5	59534000	5				525	28;1201;2463;9770;11238	True;True;True;True;True	27;1188;2448;9782;11244	32;1475;3005;11787;13540	32;1594;3241;12609;14478	32;1594;3241;12609;14478		
P20839	P20839	4	3	3	Inosine-5-monophosphate dehydrogenase 1	IMPDH1		1	4	3	3	8.9	7.6	7.6	55.405	514	514	0	25.769	13684	29895	59041	174130	194460	13689	32147	59772	163580	185710	2	2	2	2	2	24468000	3				526	2423;4072;5608;12605	False;True;True;True	2407;4062;5606;12616	2956;4967;6843;15251	3187;5321;7339;16297	3187;5321;7339;16297		
P20962	P20962	1	1	1	Parathymosin	PTMS		1	1	1	1	11.8	11.8	11.8	11.53	102	102	0.0029484	6.2868	16611	40473	79655	141690	164070	16735	41333	78411	133970	158340	1	1	1	1	1	14747000	1				527	62	True	61	77	87	87		
Q9UQ88;P21127	Q9UQ88;P21127	3;3	3;3	3;3	Cyclin-dependent kinase 11A;Cyclin-dependent kinase 11B	CDK11A;CDK11B	;	2	3	3	3	3.6	3.6	3.6	91.361	783	783;795	0	19.7	11379	24347	56095	120570	124810	11487	25687	55401	113460	120210	3	3	3	3	3	12175000	3				528	2262;10568;11017	True;True;True	2246;10576;11024	2754;12743;13292	2964;13630;14220	2964;13630;14220		
P21281	P21281	2	2	2	V-type proton ATPase subunit B, brain isoform	ATP6V1B2		1	2	2	2	7.2	7.2	7.2	56.5	511	511	0	17.222	6705.9	17375	33707	75441	81948	6779.2	18084	33432	71109	78750	2	2	2	2	2	17749000	2				529	1551;4903	True;True	1534;4897	1899;5985	2061;6412	2061;6412		
P21291	P21291	4	4	4	Cysteine and glycine-rich protein 1	CSRP1		1	4	4	4	30.1	30.1	30.1	20.567	193	193	0	39.565	49069	119540	226110	645810	766750	49301	127370	229180	607160	731860	5	5	5	5	5	103870000	5				530	1632;4690;5240;9855	True;True;True;True	1614;4684;5235;9866	1997;5729;6392;11882;11883	2163;6134;6850;12717;12718	2163;6134;6850;12718		
P21333;Q14315	P21333	18;3	18;3	16;1	Filamin-A	FLNA		2	18	18	16	8.2	8.2	7.7	280.74	2647	2647;2725	0	145.98	108720	269460	517810	1503400	1659700	109480	288210	522570	1413000	1585800	18	18	18	18	18	218370000	19				531	520;1044;1333;1561;2716;4141;4764;5101;6016;6486;8177;8613;10440;10909;11466;12062;12286;12388	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	507;1030;1318;1544;2701;4132;4758;5095;6017;6490;8187;8622;10448;10916;11473;12073;12297;12399	639;1280;1624;1911;3299;5051;5822;6217;7349;7907;9926;10437;12585;13159;13820;14568;14833;14968	696;1384;1757;1758;2073;3559;5410;6230;6667;7876;8473;10598;11140;13461;14078;14776;15563;15842;15993	696;1384;1758;2073;3559;5410;6230;6667;7876;8473;10598;11140;13461;14078;14776;15563;15842;15993		
Q8IZX4;P21675	Q8IZX4;P21675	1;1	1;1	1;1	Transcription initiation factor TFIID subunit 1-like;Transcription initiation factor TFIID subunit 1	TAF1L;TAF1	;	2	1	1	1	0.5	0.5	0.5	207.3	1826	1826;1872	0.0029528	6.2985	3482.9	9448.7	18889	58263	61526	3541.5	10235	19055	54705	58768	1	1	1	1	1	7868100	1				532	11342	True	11349	13672	14619	14619		
P21695	P21695	2	2	2	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic	GPD1		1	2	2	2	9.5	9.5	9.5	37.567	349	349	0	11.396	12536	28118	57063	147920	160600	12585	29867	57139	139110	153840	2	2	2	2	2	15764000	2				533	7371;11500	True;True	7377;11507	8965;13861	9605;14819	9605;14819		
P21796	P21796	13	13	13	Voltage-dependent anion-selective channel protein 1	VDAC1		1	13	13	13	49.5	49.5	49.5	30.772	283	283	0	118.69	204090	492860	869430	2810400	3093100	204000	528570	885300	2640700	2950000	18	18	18	18	18	1619500000	20				534	1509;2865;5233;7369;8029;8030;8047;9061;12242;12274;12463;12480;12773	True;True;True;True;True;True;True;True;True;True;True;True;True	1492;2850;5228;7375;8039;8040;8057;9073;12253;12285;12474;12491;12787	1847;3482;6383;6384;8963;9742;9743;9763;9764;9765;10976;14783;14819;14820;15079;15099;15100;15461;15462	2002;3760;3761;6841;6842;9603;10411;10412;10433;10434;10435;11724;15788;15826;15827;16118;16139;16140;16517;16518	2002;3760;6841;9603;10411;10412;10435;11724;15788;15826;16118;16140;16518		
P21926	P21926	3	3	3	CD9 antigen	CD9		1	3	3	3	12.7	12.7	12.7	25.416	228	228	0	19.905	25139	57302	102240	300080	336340	25056	60834	103580	282220	321200	3	3	3	3	3	117020000	3				535	3569;6363;10985	True;True;True	3556;6367;10992	4316;7770;13256	4634;8328;14184	4634;8328;14184		
P21964	P21964	1	1	1	Catechol O-methyltransferase	COMT		1	1	1	1	3.7	3.7	3.7	30.037	271	271	0.00053937	7.1627	6507.8	16726	27952	88986	98488	6508.3	17789	28438	83673	93946	1	1	1	1	1	5548100	1				536	3595	True	3582	4350	4671	4671		
P22059	P22059	2	2	2	Oxysterol-binding protein 1	OSBP		1	2	2	2	1.7	1.7	1.7	89.42	807	807	0	12.197	3972.9	11072	21962	48946	59537	4045.9	11545	21892	46124	57073	1	1	1	1	1	14351000	2				537	3147;4363	True;True	3133;4354	3828;5326	4121;5700	4121;5700		
P22061	P22061	2	2	2	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	PCMT1		1	2	2	2	11	11	11	24.636	227	227	0	15.7	18603	47519	89406	231690	257140	18745	50048	89582	218070	246190	2	2	2	2	2	46009000	2				538	839;11792	True;True	824;11799	1025;14222	1112;15201	1112;15201		
P22087	P22087	10	10	10	rRNA 2-O-methyltransferase fibrillarin	FBL		1	10	10	10	32.4	32.4	32.4	33.784	321	321	0	104.15	77994	192700	335760	1047900	1174600	78011	205480	341410	985150	1120600	11	11	11	11	11	541100000	12				539	1877;4629;6706;8502;8600;8896;9059;9602;9750;12188	True;True;True;True;True;True;True;True;True;True	1860;4623;6710;8510;8609;8908;9071;9614;9762;12199	2292;2293;5658;8158;10308;10423;10779;10780;10974;11601;11766;14720	2478;2479;6058;8743;10999;11125;11508;11509;11722;12401;12584;15722	2478;6058;8743;10999;11125;11509;11722;12401;12584;15722		
P22102	P22102	20	20	20	Trifunctional purine biosynthetic protein adenosine-3;Phosphoribosylamine--glycine ligase;Phosphoribosylformylglycinamidine cyclo-ligase;Phosphoribosylglycinamide formyltransferase	GART		1	20	20	20	27.4	27.4	27.4	107.77	1010	1010	0	196.7	210460	524950	968530	2610500	2791500	211440	554090	971100	2456500	2672500	24	24	24	24	24	677400000	25				540	95;575;678;1263;1515;3224;3722;3776;4270;5248;5310;5503;6234;7593;9484;9798;10465;11552;11878;11901	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	94;560;662;1248;1498;3210;3709;3763;4261;5243;5305;5500;6237;7601;9496;9810;10473;11559;11887;11910	117;118;711;832;833;1540;1853;3915;4504;4573;5213;6405;6483;6711;7620;9232;9233;11447;11821;12617;13925;14333;14359	129;130;780;912;913;1664;1665;2009;4214;4830;4901;5579;6863;6864;6951;7200;8162;9883;9884;12232;12644;13495;14889;15318;15344	129;780;912;1664;2009;4214;4830;4901;5579;6864;6951;7200;8162;9883;12232;12644;13495;14889;15318;15344		
P22234	P22234	17	17	17	Multifunctional protein ADE2;Phosphoribosylaminoimidazole-succinocarboxamide synthase;Phosphoribosylaminoimidazole carboxylase	PAICS		1	17	17	17	46.6	46.6	46.6	47.079	425	425	0	181.3	167930	405590	780560	2193100	2377800	168820	432200	785290	2061800	2274000	21	21	21	21	21	908370000	22				541	263;496;1273;1325;2200;2956;3586;3592;6132;6250;6315;6711;6712;8214;10640;10996;11621	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	256;483;1258;1310;2184;2942;3573;3579;6135;6253;6319;6715;6716;8224;10648;11003;11627	337;613;1554;1614;2682;3597;3598;4339;4340;4347;7498;7639;7718;7719;8163;8164;9974;12826;13268;13269;14006	373;668;1684;1745;2885;2886;3883;3884;4659;4660;4668;8037;8183;8272;8273;8748;8749;10648;13714;14196;14197;14972	373;668;1684;1745;2886;3884;4660;4668;8037;8183;8272;8748;8749;10648;13714;14196;14972		
P22307	P22307	3	3	3	Non-specific lipid-transfer protein	SCP2		1	3	3	3	5.7	5.7	5.7	58.993	547	547	0	20.658	33338	77884	146840	444920	535720	33395	83547	149740	418060	510730	4	4	4	4	4	107710000	4				542	5044;6106;6626	True;True;True	5038;6108;6630	6147;7463;7464;8067	6587;8001;8002;8648	6587;8002;8648		
P22314	P22314	27	27	27	Ubiquitin-like modifier-activating enzyme 1	UBA1		1	27	27	27	29.3	29.3	29.3	117.85	1058	1058	0	290.02	342470	813790	1487200	4536800	5056700	342740	870350	1508900	4263900	4826400	37	37	37	37	37	2345000000	38				543	226;492;927;1363;1364;1771;2144;4481;4714;4837;6212;7150;7547;7915;8192;8747;8796;9222;9358;9364;9375;9912;10128;10259;11735;12554;12596	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	220;479;913;1348;1349;1753;2128;4474;4708;4831;6215;7156;7555;7925;8202;8759;8808;9234;9370;9376;9387;9921;10138;10267;11742;12565;12607	267;268;609;1133;1134;1660;1661;2161;2162;2616;5480;5481;5760;5761;5908;7597;8697;9177;9612;9613;9945;10602;10661;10662;11156;11307;11314;11327;11948;12220;12377;14154;15193;15239;15240	297;298;663;664;1226;1227;1795;1796;2340;2341;2816;5866;5867;6165;6166;6322;8139;9329;9824;10276;10277;10618;10619;11321;11384;11385;11918;12082;12090;12104;12788;12789;13081;13241;15128;16236;16285;16286	297;664;1227;1795;1796;2341;2816;5866;6166;6322;8139;9329;9824;10276;10618;11321;11385;11918;12082;12090;12104;12789;13081;13241;15128;16236;16286		
P22392;O60361	P22392;O60361	11;7	5;4	5;4	Nucleoside diphosphate kinase B;Putative nucleoside diphosphate kinase	NME2;NME2P1	;	2	11	5	5	71.1	40.1	40.1	17.298	152	152;137	0	61.261	110830	260470	506880	1386100	1463600	111300	277040	508320	1303400	1401200	10	10	10	10	10	1034100000	10				544	2233;2949;4235;4765;4766;8794;9253;10855;12020;12021;12729	True;True;False;False;False;True;True;False;False;False;True	2217;2934;4226;4759;4760;8806;9265;10862;12029;12030;12031;12742	2719;2720;2721;3582;3583;5174;5175;5823;5824;5825;10657;10658;11189;13088;13089;14506;14507;14508;14509;15403;15404	2925;2926;2927;3868;3869;5538;5539;6231;6232;6233;11380;11381;11956;14003;14004;14005;15496;15497;15498;15499;15500;16458;16459	2925;3868;5538;6231;6233;11381;11956;14003;15496;15499;16458	26	90
P22626	P22626	24	24	23	Heterogeneous nuclear ribonucleoproteins A2/B1	HNRNPA2B1		1	24	24	23	62.3	62.3	62.3	37.429	353	353	0	284.7	302680	777660	1406700	4183200	4787700	304200	828170	1426100	3933000	4569600	51	53	53	53	53	5698600000	54				545	2410;2669;2722;2979;4395;4396;4398;4467;4468;4491;4506;5574;6641;7275;7308;8012;8013;8014;8906;9096;9208;9593;10052;11029	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2394;2654;2707;2965;4387;4388;4390;4460;4461;4484;4499;5572;6645;7281;7314;8022;8023;8024;8918;9108;9220;9605;10062;11036	2938;2939;3247;3248;3306;3622;5370;5371;5373;5374;5375;5376;5377;5378;5463;5464;5465;5492;5507;5508;6801;8085;8840;8841;8842;8880;8881;8882;8883;9724;9725;9726;9727;10793;11014;11015;11139;11140;11590;12128;13304;13305	3166;3167;3505;3506;3507;3566;3909;5744;5745;5747;5748;5749;5750;5751;5752;5753;5845;5846;5847;5848;5879;5880;5895;5896;5897;7295;8666;9475;9476;9477;9478;9516;9517;9518;9519;9520;10392;10393;10394;10395;11523;11524;11766;11767;11768;11898;11899;11900;12388;12985;12986;14233;14234;14235	3166;3506;3566;3909;5744;5745;5750;5846;5848;5880;5897;7295;8666;9475;9520;10392;10393;10395;11523;11767;11899;12388;12985;14233		
P22695	P22695	12	12	12	Cytochrome b-c1 complex subunit 2, mitochondrial	UQCRC2		1	12	12	12	33.1	33.1	33.1	48.442	453	453	0	134.55	119510	288560	550990	1509100	1621800	120080	306300	553170	1419200	1552000	14	14	14	14	14	392720000	15				546	252;1322;1413;3228;4486;6461;8004;8274;8706;9756;10935;12570	True;True;True;True;True;True;True;True;True;True;True;True	246;1307;1398;3214;4479;6465;8014;8284;8718;9768;10942;12581	324;1610;1611;1715;3920;5486;5487;7879;9716;10048;10554;11773;13191;15210	359;360;1741;1742;1856;4219;5872;5873;8444;10384;10726;11266;12592;14114;16253	359;1741;1856;4219;5872;8444;10384;10726;11266;12592;14114;16253		
P23193	P23193	4	4	4	Transcription elongation factor A protein 1	TCEA1		1	4	4	4	17.9	17.9	17.9	33.969	301	301	0	29.352	15927	40449	83466	230280	252680	16152	43372	83818	216380	241680	4	4	4	4	4	25924000	4				547	3186;6598;6805;9777	True;True;True;True	3172;6602;6810;9789	3868;8035;8265;11795	4165;8611;8859;12618	4165;8611;8859;12618		
P23246	P23246	26	26	25	Splicing factor, proline- and glutamine-rich	SFPQ		1	26	26	25	34.5	34.5	33.4	76.149	707	707	0	302.11	331810	824650	1535100	4168100	4450200	333470	871980	1539600	3921400	4260100	38	38	38	38	38	2420600000	38				548	435;798;1046;1547;1679;1969;2736;3175;3797;4609;4610;4785;4971;6033;7312;7313;8344;8415;8892;9240;9427;9548;9660;10184;10345;12617	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	425;783;1032;1530;1661;1952;2721;3161;3784;4603;4604;4779;4965;6034;7318;7319;8352;8422;8904;9252;9439;9560;9672;10192;10353;12628	552;973;1282;1893;2053;2403;2404;3322;3857;4603;4604;5636;5637;5848;6062;7368;8892;8893;8894;10127;10206;10775;11175;11384;11518;11668;11669;12287;12476;12477;15264;15265	604;1057;1386;2053;2054;2222;2595;2596;3582;4152;4153;4931;4932;6035;6036;6257;6495;7897;9530;9531;9532;10808;10891;11504;11938;11939;12162;12306;12470;12471;12472;12473;13149;13347;13348;13349;16310;16311	604;1057;1386;2054;2222;2596;3582;4153;4931;6035;6036;6257;6495;7897;9530;9531;10808;10891;11504;11938;12162;12306;12470;13149;13347;16310		
Q9NRH3;P23258	Q9NRH3;P23258	2;2	2;2	2;2	Tubulin gamma-2 chain;Tubulin gamma-1 chain	TUBG2;TUBG1	;	2	2	2	2	5.1	5.1	5.1	51.091	451	451;451	0	12.073	13112	33880	70039	169740	207560	13316	35790	70223	159710	198600	2	2	2	2	2	10961000	2				549	2345;9060	True;True	2329;9072	2857;10975	3078;11723	3078;11723		
P23284	P23284	11	11	11	Peptidyl-prolyl cis-trans isomerase B	PPIB		1	11	11	11	44.4	44.4	44.4	23.742	216	216	0	100.75	330010	781470	1402900	4148600	4545400	329820	830940	1418900	3901000	4342000	22	22	22	22	22	6926700000	23				550	1800;2353;3947;4242;5456;5661;10734;11293;11786;11801;11902	True;True;True;True;True;True;True;True;True;True;True	1782;1783;2337;3935;4233;5453;5659;10741;11299;11793;11809;11810;11911	2197;2198;2199;2867;2868;4791;4792;5184;6656;6657;6914;12945;12946;13608;13609;14215;14216;14240;14241;14360;14361	2376;2377;2378;3090;3091;5133;5134;5135;5549;7140;7141;7413;7414;13855;13856;14551;14552;15194;15195;15220;15221;15345;15346	2377;3091;5135;5549;7141;7414;13856;14552;15194;15221;15346	29	101
P23368;Q16798	P23368	8;1	8;1	8;1	NAD-dependent malic enzyme, mitochondrial	ME2		2	8	8	8	17.6	17.6	17.6	65.443	584	584;604	0	60.044	63840	160970	298230	847770	891730	64202	171010	299660	797250	853120	9	9	9	9	9	144790000	9				551	967;1553;2165;4651;5622;5851;9984;12751	True;True;True;True;True;True;True;True	952;1536;2149;4645;5620;5851;9994;12764	1179;1901;2641;2642;5680;6859;7141;12033;15430	1276;2063;2842;2843;6082;7356;7655;12879;16486	1276;2063;2842;6082;7356;7655;12879;16486		
P23381	P23381	4	4	4	Tryptophan--tRNA ligase, cytoplasmic;T1-TrpRS;T2-TrpRS	WARS		1	4	4	4	9.8	9.8	9.8	53.165	471	471	0	28.346	34222	75883	151770	391980	410370	34296	80435	151660	368700	393410	4	4	4	4	4	53569000	4				552	16;622;887;3582	True;True;True;True	15;607;872;3569	17;765;1084;4335	17;840;1172;4655	17;840;1172;4655		
P23396	P23396	17	17	17	40S ribosomal protein S3	RPS3		1	17	17	17	65.8	65.8	65.8	26.688	243	243	0	143.05	307950	769130	1387300	4014000	4528000	308940	816220	1402800	3775100	4324900	27	27	27	27	27	1450300000	27				553	278;443;1775;3015;3145;3782;3833;4045;4201;4482;4666;5924;6458;7616;9246;10815;11174	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	271;433;1757;3001;3131;3769;3821;4035;4192;4475;4660;5924;6462;7624;9258;10822;11180	355;562;2166;2167;3664;3665;3826;4582;4583;4662;4663;4934;4935;5128;5482;5699;5700;7232;7233;7876;9260;11182;13040;13472	391;614;2345;2346;3951;3952;3953;4117;4118;4910;4911;5003;5004;5287;5288;5490;5491;5868;6103;6104;7747;7748;8441;9912;11947;13954;14406	391;614;2346;3951;4117;4910;5004;5288;5491;5868;6104;7748;8441;9912;11947;13954;14406		
P23526	P23526	16	16	15	Adenosylhomocysteinase	AHCY		1	16	16	15	38.4	38.4	36.8	47.716	432	432	0	145.84	187580	463330	879330	2384100	2625900	188680	490900	883420	2242600	2512200	17	17	17	17	17	807830000	17				554	609;827;1853;3696;4594;5769;6286;6612;9157;9885;10165;11405;12068;12458;12763;12783	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	594;812;1836;3683;4588;5768;6289;6616;9169;10175;11412;12079;12469;12777;12797	747;748;1008;1009;2263;4470;5618;7039;7682;8050;11084;12266;13744;14579;15073;15448;15473	819;820;1095;1096;2448;4794;6017;7549;8233;8626;11841;13127;14691;15576;16112;16504;16532	819;1096;2448;4794;6017;7549;8233;8626;11841;13127;14691;15576;16112;16504;16532		
P23527;P33778	P23527;P33778	10;9	1;0	0;0	Histone H2B type 1-O;Histone H2B type 1-B	HIST1H2BO;HIST1H2BB	;	2	10	1	0	65.9	8.7	0	13.906	126	126;126	0.002947	6.2825	6895.8	17986	27192	112110	243150	6860.3	19512	30878	105250	229610	1	1	1	1	1	17510000	1				555	1006;1538;2946;3417;5267;5477;6420;7028;7646;9102	False;False;False;False;False;False;False;False;False;True	991;992;1521;2931;3403;5262;5474;6424;7033;7654;9114	1233;1234;1235;1236;1237;1238;1880;3579;4131;4132;6431;6432;6433;6682;7831;7832;8515;8516;9292;9293;9294;11021	1336;1337;1338;1339;1340;1341;2036;2037;3863;3864;3865;4442;4443;6895;6896;6897;6898;6899;7167;7168;8393;8394;8395;9129;9130;9131;9132;9133;9946;9947;9948;9949;9950;11774	1341;2036;3864;4442;6898;7168;8394;9132;9946;11774	12;13	60;63
P23528;Q9Y281	P23528	16;3	16;3	15;2	Cofilin-1	CFL1		2	16	16	15	81.9	81.9	77.7	18.502	166	166;166	0	146.72	306510	748150	1328600	4093700	4635600	306720	798360	1350600	3848200	4422600	28	28	28	28	28	7465300000	29				556	1270;1483;2652;2933;5281;5282;6713;6852;7356;8034;8467;8511;8795;10490;10491;12519	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1255;1468;2637;2918;5276;5277;6717;6857;7362;8044;8474;8519;8807;10498;10499;12530	1550;1816;1817;1818;3225;3226;3565;3566;6448;6449;6450;8165;8321;8322;8944;8945;9747;9748;10265;10266;10319;10659;10660;12646;12647;15149;15150	1678;1971;1972;1973;3481;3482;3849;3850;6915;6916;6917;8750;8918;8919;9583;9584;10416;10417;10954;10955;10956;11011;11012;11382;11383;13526;13527;16191;16192	1678;1971;3481;3849;6915;6916;8750;8919;9583;10416;10955;11011;11382;13526;13527;16192		
